,endTime,artistName,trackName,msPlayed,trackId
235,2023-03-31 19:48,Patty Gurdy,Game of Thrones - Hurdy Gurdy Version,112566,17ViqJ4aMreUGtbNJJZ37O
236,2023-03-31 19:48,Malukah,Scarborough Fair,7224,0Z3CT9GPcvymMOoZRRYQBp
237,2023-03-31 19:49,Eklipse,Clocks - Coldplay,66908,0
238,2023-03-31 19:50,Stantough,Counting Stars - Medieval Style Instrumental,5537,6cSi8a6dK9tViKKxGTpITw
239,2023-03-31 19:50,Alessandro Penna,Heawood’s Hills,28328,6dkCYwWsPCV0853qAwZ9MH
240,2023-03-31 19:50,Brooklyn Duo,Havana,14651,1yb2jqz3nNZf4jgQoc5M4Y
241,2023-03-31 19:52,Stantough,Dark Horse - Medieval Style Instrumental,144923,7uYewleEwnHuejP3GOncQb
242,2023-03-31 19:54,The Tavern,"Wet Hands (From ""Minecraft"") [Medieval Style]",93851,5XotTQ28IcL8r5KhQBWcVm
243,2023-03-31 19:56,Stantough,Counting Stars - Medieval Style Instrumental,44222,6cSi8a6dK9tViKKxGTpITw
244,2023-03-31 19:56,Bardcore,Industry Baby - Medieval Version,98540,5jOJg4sfGjVw9qtRzLB0I9
245,2023-03-31 20:00,Beedle The Bardcore,Gangsta's Paradise - Medieval Bardcore Version,209629,0
246,2023-03-31 20:00,Stantough,Dark Horse - Medieval Style Instrumental,28223,7uYewleEwnHuejP3GOncQb
247,2023-03-31 20:01,Cornelius Link,Stay - Medieval Style,25379,3FOMaTmPpIXCwkYttto3y3
248,2023-03-31 20:06,Algal,Meme Music Medley,333429,3nlYhSftILf8bG4phCql13
249,2023-03-31 20:12,Beedle The Bardcore,American Boy - Medieval Bardcore Version,311694,1OYhSG1PZz5t6faXcxOL6z
250,2023-03-31 20:19,Constantine Bard,Young and Beautiful,245298,5aJjXHmDkRoMVQ1YpkvcQy
251,2023-03-31 20:21,Bardcore,Shallow - Medieval Version,131601,0kt5o790iLRf9jUBWLXQ0k
252,2023-03-31 20:25,Joseph C. Phaze,Cheap Thrills,222666,0ZgTVZ1tGJOyB5mQqn3RRc
253,2023-03-31 20:29,Beedle The Bardcore,Big Poppa - Medieval Bardcore Version,236339,3i1WzzfNWrIxKFSCodqHZn
254,2023-03-31 20:32,Stantough,How You Like That - Medieval Style Instrumental,191040,7breOFWdb8FW3ct6sCnCrL
255,2023-03-31 20:36,DJ MÖNCH,Baby One More Time Medieval Style,231758,1F5mWfY183jBeKr69YRM6p
256,2023-03-31 20:39,Beedle The Bardcore,In Da Club - Medieval Bardcore Version,217333,29jTcW4KoAQz49fJlytIUi
257,2023-03-31 20:41,White Knight Instrumental,Hung Up,61960,1l1Cou2d9VNLRthuOdojJn
258,2023-03-31 20:44,Bard to the Core,The Final Countdown - Medieval Style,209383,68TjVeha9So8A0MOdg6QI5
259,2023-03-31 20:48,Constantine Bard,Born to Die,252937,1TOfbe4Y2MEhqWsvEZJY1W
260,2023-03-31 20:49,Beedle The Bardcore,Survivor - Medieval Bardcore Version,36964,5X6wnk64dSdJrRkoBUcQlg
261,2023-03-31 20:50,Bard to the Core,Last Christmas - Bardcore,59524,65TG3Mj9ge0bW4UGYKZ4fG
262,2023-03-31 20:50,Cornelius Link,Wake Me Up - Medieval Style,13676,1v7eAashVWBU8R0bqQ5fNk
263,2023-03-31 20:52,Stantough,Bye Bye Bye - Bardcore Instrumental,83673,2WFRGGDTD5coQtonoka2as
264,2023-03-31 20:55,Joseph C. Phaze,Take on Me,220941,3deREmfjjYkKMfxnVz1X6l
265,2023-03-31 21:00,Beedle The Bardcore,Say My Name - Medieval Bardcore Version,276521,3w7nKHRnwfwEaASblrUxaD
266,2023-03-31 21:03,Cornelius Link,Pumped Up Kicks - Medieval Style,168913,5QvvENNiftT9duwAJKWhyB
267,2023-03-31 21:03,Stantough,I Want It That Way,30580,5VVOijlu8o38WE3qWqEp7X
268,2023-03-31 21:04,Magentium,Old Town Road,31567,6CMjbH1Hc5plQLKQnCkduR
269,2023-03-31 21:07,DJ MÖNCH,Summertime Sadness Medieval Style Gone Wrong,163770,5yTjsmrECWfldJPkAebqvU
270,2023-03-31 21:10,Stantough,Eye of the Tiger,202105,7muxvuaPTM4DcFwDW6lzZM
271,2023-03-31 21:10,Bardcore,No Woman No Cry - Medieval Version,34516,2Bdpa43YpTUlPuzfpdAI10
272,2023-03-31 21:12,Lamemoroko,Bad Guy Medieval Style,98115,1VoTP6skTpso2pEHgxkWPs
273,2023-03-31 23:30,Patty Gurdy,Gurdy's Green,104431,0
274,2023-04-01 03:52,Hans Zimmer,Cornfield Chase,27989,6pWgRkpqVfxnj3WuIcJ7WP
275,2023-04-04 02:23,Grupo Marca Registrada,El Rescate,10944,4w273WCBXwM4P3jTX5HkB2
276,2023-04-04 02:25,Grupo Marca Registrada,El Rescate,155925,4w273WCBXwM4P3jTX5HkB2
277,2023-04-06 02:27,Eluveitie,Ambiramus,4504,4wxm46qMm1P7JH1ivm1BQ2
278,2023-04-06 02:29,Michalina Malisz,Morrison's Jig,162139,0
279,2023-04-06 02:31,Grimner,Eldhjärta,75713,7ESOu8dZ41nrGlRu9BLEte
280,2023-04-06 02:33,Andrey Vinogradov,Aequinoctium,162000,5MEQ91Z29pSOA1mHLyk4W2
281,2023-04-06 02:37,Andrey Stanislavovich Vinogradov,Dark Medieval Blues,207421,4EVb8iiLdIuuimTA5SD3gn
282,2023-04-06 02:44,Andrey Vinogradov,"Uzh Kak Po Mostu, Mostochiku",361531,7FiPPZMuspTj6koUqxir5z
283,2023-04-06 02:50,Andrey Stanislavovich Vinogradov,Chasen Senem,364750,6JGE1IbYe9WcmrKRHEBwrw
284,2023-04-06 02:55,Andrey Stanislavovich Vinogradov,Spiral Dance,245098,5tN1EvrHoxtusz8OCRKGdY
285,2023-04-06 03:00,Andrey Vinogradov,Makrinitsa,324269,4JwoLiQ9XysXqw4JcVvAYC
286,2023-04-06 03:09,Andrey Stanislavovich Vinogradov,Northern Ballad,221416,5cy6nd48GwnUkl27Kmdr0O
287,2023-04-06 03:14,Guilhem Desq,Arbol,264800,3IiWVE4GJYrqSVhgjEH1Yl
288,2023-04-06 03:17,Andrey Stanislavovich Vinogradov,Aequilibrium,182588,5BVhuE2oWsDiHJkEefyFWm
289,2023-04-06 03:24,Nigel Eaton,On the River,257173,0Az8sB0kiWOtgZFphoCKzd
290,2023-04-06 03:28,Andrey Vinogradov,Bounce Dance,209751,5ReqcLBovuMu5jdCZRoU1D
291,2023-04-06 03:34,Andrey Vinogradov,Dark Oriental Improvisation,362292,7GxUuaXFWqUSk1HBjHjGMY
292,2023-04-06 03:38,Andrey Vinogradov,Dark Medieval Ballad,253499,5lNLIphSK0tyPMDaLWyy0I
293,2023-04-06 03:42,Andrey Vinogradov,"Ty Riabinushka, Raskudriavaya",199762,2meOIQl4WhJUdYdIyHCu6R
294,2023-04-06 03:47,Andrey Vinogradov,"A V Andreevom, A I V Domiku",349044,5QCgVLE40otCwuB2onm6vG
295,2023-04-06 03:48,forfedre,Scandinavia,62803,1Yim9dlL9fAGVoO5cX8zNU
296,2023-04-06 03:50,Helroth,Ortni,81811,1h9RsO6lndcjKFxzYbsERk
297,2023-04-06 03:51,Alpine Universe,Horseback Riding,91453,3DKKu1N1hZNC9vINyFtlY5
298,2023-04-06 03:53,Andrei Krylov,Antwerpen Branle,81091,0jtRRnbLndJDXbagEADLmd
299,2023-04-06 03:55,Mathias Rehfeldt,Fire and Ashes,131230,1CADa3niFb30G3gXqTeFay
300,2023-04-06 03:59,Ryan Stewart,Fiddler's Dream,261895,0
301,2023-04-06 04:00,Cosmo Sheldrake,Forests,66986,5kP7BmwjegvdbML5baspnC
